V1,travel,sleep,work_act,household_combine,Leisure_Combine,Others,work_per_week,wage,year,education,sex,metropolitan,age,partner,child_num
526,172,493,452,13,240,70,40,10,2003,39,1,-1,33,3,0
539,74,45,270,247,359,445,40,17.56,2003,39,1,-1,49,1,1
540,140,525,745,0,10,20,40,12.5,2003,41,1,-1,35,3,2
542,200,410,800,0,0,30,70,17.1428571429,2003,41,1,-1,43,1,1
543,131,540,510,119,95,45,40,38.4615,2003,43,2,-1,39,1,1
549,0,630,370,105,300,35,36,2.75555555556,2003,39,2,-1,44,3,0
550,25,630,365,0,420,0,35,18.2857142857,2003,40,2,-1,23,1,1
563,25,450,365,255,295,50,40,17.5,2003,39,1,-1,52,1,0
564,28,405,680,87,190,50,55,16.3636363636,2003,43,2,-1,29,1,1
565,60,570,495,120,135,60,40,5,2003,39,2,-1,22,1,3
576,115,510,135,20,565,95,40,10.5,2003,40,2,-1,34,1,3
581,50,390,470,80,330,120,40,43.269,2003,43,2,-1,64,3,0
582,100,590,280,0,210,260,75,5.01866666667,2003,39,2,-1,22,3,4
589,125,640,315,30,150,180,35,9.14285714286,2003,43,1,-1,41,1,2
590,70,540,585,0,180,65,40,18.25,2003,43,1,-1,27,3,1
597,15,375,615,255,160,20,36,8,2003,36,2,-1,43,1,3
605,40,410,605,30,315,40,50,7,2003,40,2,-1,28,1,4
606,136,410,485,75,149,185,40,10.65,2003,39,1,-1,41,1,2
614,40,600,640,0,135,25,45,11.0666666667,2003,44,1,-1,28,1,1
618,90,660,525,0,30,135,40,10,2003,43,2,-1,35,3,0
620,225,360,510,50,250,45,48,28.8460416667,2003,43,1,-1,39,3,0
633,40,480,445,30,390,55,39,7.81205128205,2003,39,2,-1,48,3,0
634,40,435,400,120,325,120,40,16.82675,2003,43,2,-1,36,1,0
635,30,510,455,10,365,70,40,8.65375,2003,40,2,-1,38,3,0
643,214,480,450,131,165,0,50,57.6922,2003,44,1,-1,45,1,2
652,70,430,705,0,200,35,70,12.1428571429,2003,43,1,-1,24,1,0
653,73,238,489,185,305,150,38,12.5,2003,40,2,-1,21,3,0
678,120,525,465,75,120,135,40,31.25,2003,43,2,-1,43,1,1
681,130,505,490,0,245,70,50,44.2306,2003,44,1,-1,50,1,4
683,30,445,660,0,240,65,35,8.57142857143,2003,40,1,-1,30,3,0
684,70,340,575,60,375,20,55,20,2003,40,1,-1,49,1,0
